LinkId,Geometry
100474,"LINESTRING(356621.23262 6689156.67515,356618.05219 6689159.37270,356614.40778 6689161.38488,356608.78008 6689162.92152)"
100475,"LINESTRING(356608.78008 6689162.92152,356606.89744 6689163.14113,356603.33451 6689163.01241,356599.82905 6689162.30182,356596.50325 6689161.02459,356593.43458 6689159.20963,356590.70935 6689156.90760,356588.40695 6689154.18070,356586.59293 6689151.11416,356585.31018 6689147.79451)"
101004,"LINESTRING(354428.51940 6688725.55296,354363.54567 6688700.35433,354353.85244 6688695.97571,354349.86169 6688694.35991,354339.44530 6688689.27775)"
101068,"LINESTRING(354538.79737 6688765.73101,354513.48338 6688756.86028,354504.66149 6688753.77727)"
101075,"LINESTRING(354411.50065 6688699.15665,354425.85140 6688703.96657)"
101153,"LINESTRING(356837.71065 6689060.19596,356846.90662 6689061.51400,356852.92865 6689061.69059,356880.81276 6689059.06339,356898.15437 6689057.40971)"
101154,"LINESTRING(356898.15437 6689057.40971,356880.81276 6689059.06339,356852.92865 6689061.69059,356846.90662 6689061.51400,356837.71065 6689060.19596)"
101165,"LINESTRING(356837.71065 6689060.19596,356837.32827 6689061.71998,356836.71411 6689063.16832,356835.89710 6689064.51707,356834.89801 6689065.73164,356833.72248 6689066.77835,356832.40829 6689067.65502,356830.97556 6689068.31598,356829.46270 6689068.77016,356827.90623 6689068.99319,356826.32125 6689068.98422,356824.76885 6689068.75085,356823.25594 6689068.28156,356821.83735 6689067.60658)"
101296,"LINESTRING(356780.65959 6689073.72465,356780.92380 6689072.51896,356781.31839 6689071.33914,356781.82950 6689070.20825,356782.46598 6689069.14804,356783.20452 6689068.14871,356784.04703 6689067.24353)"
101297,"LINESTRING(356784.04703 6689067.24353,356784.98532 6689066.42185,356786.00619 6689065.71782,356787.21159 6689065.05879,356788.49394 6689064.55111,356789.81607 6689064.20803,356791.17672 6689064.00738,356792.55450 6689063.97263,356793.91918 6689064.10552,356795.26256 6689064.39541,356796.56198 6689064.84360,356797.80168 6689065.43986)"
103206,"LINESTRING(357587.12394 6688860.25292,357584.91628 6688862.60482,357582.17553 6688864.38650,357578.76480 6688865.19417,357574.38119 6688865.03407,357570.39147 6688864.33958,357496.53065 6688851.46703,357493.43503 6688850.63226,357490.91464 6688849.25267,357488.79657 6688847.74985,357486.63839 6688845.54839,357483.66488 6688841.55794)"
103207,"LINESTRING(357483.66488 6688841.55794,357486.63839 6688845.54839,357488.79657 6688847.74985,357490.91464 6688849.25267,357493.43503 6688850.63226,357496.53065 6688851.46703,357570.39147 6688864.33958,357574.38119 6688865.03407,357578.76480 6688865.19417,357582.17553 6688864.38650,357584.91628 6688862.60482,357587.12394 6688860.25292)"
103208,"LINESTRING(357483.66488 6688841.55794,357477.68472 6688833.00039,357449.46296 6688793.84357,357445.88036 6688790.73368,357442.37072 6688788.49857)"
103209,"LINESTRING(357442.37072 6688788.49857,357445.88036 6688790.73368,357449.46296 6688793.84357,357477.68472 6688833.00039,357483.66488 6688841.55794)"
104901,"LINESTRING(356861.75574 6688552.19691,356864.19895 6688559.74455,356865.23630 6688561.69872,356879.49480 6688585.64549,356898.06649 6688623.02937,356907.33330 6688650.48979,356911.64451 6688665.47353,356912.35421 6688672.54230,356914.48770 6688693.69272,356913.31372 6688729.84216,356909.28246 6688747.15252,356906.88169 6688757.48207)"
104902,"LINESTRING(356906.88169 6688757.48207,356909.28246 6688747.15252,356913.31372 6688729.84216,356914.48770 6688693.69272,356912.35421 6688672.54230,356911.64451 6688665.47353,356907.33330 6688650.48979,356898.06649 6688623.02937,356879.49480 6688585.64549,356865.23630 6688561.69872,356864.19895 6688559.74455,356861.75574 6688552.19691)"
105339,"LINESTRING(354643.72017 6688543.50597,354654.27696 6688549.18136,354656.10188 6688550.18838)"
105760,"LINESTRING(355540.07092 6688351.67180,355538.39753 6688359.06721,355534.90062 6688360.74886)"
105761,"LINESTRING(355534.90062 6688360.74886,355523.93621 6688361.00350)"
105766,"LINESTRING(355510.72789 6688348.52579,355515.82503 6688291.55454,355516.46297 6688283.42895)"
105859,"LINESTRING(354130.09895 6687157.04843,354135.29281 6687157.15913,354137.57853 6687157.47173,354154.11615 6687158.20462,354168.26601 6687159.74349,354196.76735 6687162.89867,354213.41987 6687164.43729,354242.29127 6687166.78127,354269.86079 6687169.30094,354272.18607 6687169.51116,354284.16522 6687173.37905,354295.00994 6687179.00388,354303.60071 6687185.12644,354316.01181 6687193.96508,354337.62724 6687210.74891)"
105861,"LINESTRING(354337.62724 6687210.74891,354360.17665 6687225.19784,354392.68912 6687241.18390,354408.79850 6687248.01724,354424.68447 6687253.35038,354441.63300 6687258.04347,354456.57113 6687261.28420,354482.06104 6687266.40638,354501.55757 6687268.87151,354519.15176 6687270.17843,354535.29121 6687270.06756,354552.59059 6687269.03287,354575.24056 6687265.18514,354598.86375 6687261.90425,354661.06390 6687249.02561,354713.57832 6687238.74408,354744.58637 6687232.67778,354747.68544 6687231.97557,354753.51299 6687230.98202)"
106133,"LINESTRING(356187.76710 6687642.67822,356272.00034 6687434.26283)"
106134,"LINESTRING(356272.00034 6687434.26283,356187.76710 6687642.67822)"
106838,"LINESTRING(356977.63206 6687472.41497,356980.82281 6687471.19686,356986.05646 6687470.29526,356990.65940 6687470.03071,356998.02191 6687469.88571)"
106839,"LINESTRING(356994.38441 6687480.21946,356989.54047 6687476.15870,356985.92502 6687474.34156,356977.63206 6687472.41497)"
106853,"LINESTRING(356745.73320 6688050.16257,356753.04879 6688053.16862,356758.78467 6688055.99850,356771.45078 6688061.99014)"
106854,"LINESTRING(356771.45078 6688061.99014,356758.78467 6688055.99850,356753.04879 6688053.16862,356745.73320 6688050.16257)"
106907,"LINESTRING(356708.37796 6688196.66129,356715.27044 6688195.74186)"
106908,"LINESTRING(356699.79968 6688145.60758,356692.19849 6688161.75492)"
106912,"LINESTRING(356692.19849 6688161.75492,356689.43046 6688167.67748)"
106913,"LINESTRING(356676.03220 6688196.00765,356670.43182 6688205.94281)"
107935,"LINESTRING(355518.62555 6688421.23595,355518.37481 6688424.51041,355517.64695 6688434.09874,355515.05470 6688468.26128,355514.88418 6688470.42961,355514.51097 6688475.39121)"
107936,"LINESTRING(355518.62555 6688421.23595,355525.23188 6688421.80031,355595.39861 6688428.65382,355615.97348 6688430.57057,355621.53116 6688431.09541)"
107937,"LINESTRING(355621.53116 6688431.09541,355615.97348 6688430.57057,355595.39861 6688428.65382,355525.23188 6688421.80031,355518.62555 6688421.23595)"
108284,"LINESTRING(357748.81928 6688102.17391,357750.27386 6688100.56622)"
108285,"LINESTRING(357750.27386 6688100.56622,357748.81928 6688102.17391)"
10834,"LINESTRING(357638.59991 6688429.59269,357638.86978 6688432.31421,357628.63231 6688474.30147)"
108702,"LINESTRING(355712.78575 6687852.48552,355712.46308 6687846.62951)"
108703,"LINESTRING(355712.46308 6687846.62951,355712.78575 6687852.48552)"
108704,"LINESTRING(355712.46308 6687846.62951,355712.06339 6687839.17578)"
108705,"LINESTRING(355712.06339 6687839.17578,355712.46308 6687846.62951)"
108710,"LINESTRING(355518.10787 6687852.04852,355518.99749 6687859.84114)"
108711,"LINESTRING(355518.99749 6687859.84114,355518.10787 6687852.04852)"
108712,"LINESTRING(355518.99749 6687859.84114,355519.49456 6687866.08763)"
108713,"LINESTRING(355519.49456 6687866.08763,355518.99749 6687859.84114)"
109466,"LINESTRING(357354.77037 6688516.17824,357348.40116 6688511.54839,357329.49472 6688497.20227,357320.22222 6688491.52643,357306.85295 6688485.67421)"
109467,"LINESTRING(357306.85295 6688485.67421,357320.22222 6688491.52643,357329.49472 6688497.20227,357348.40116 6688511.54839,357354.77037 6688516.17824)"
110366,"LINESTRING(354089.40528 6688558.49040,354084.45212 6688548.90843,354082.38259 6688545.64598,354078.82470 6688542.21391,354069.08558 6688534.04430)"
110379,"LINESTRING(354050.94076 6688505.13287,354060.23666 6688513.37266,354092.56489 6688544.58840,354098.62837 6688555.27429)"
110591,"LINESTRING(356799.74226 6688485.99157,356777.21847 6688459.92799)"
110642,"LINESTRING(356777.21847 6688459.92799,356734.18559 6688416.34127,356723.06294 6688405.00943,356713.67401 6688395.34691,356702.72137 6688384.07208,356696.42269 6688377.78104,356686.75558 6688367.63390,356682.02150 6688365.08023,356674.61825 6688363.18082)"
11106,"LINESTRING(356618.90054 6689125.11097,356621.90339 6689121.56693,356632.51291 6689114.51431)"
11107,"LINESTRING(356632.51291 6689114.51431,356621.90339 6689121.56693,356618.90054 6689125.11097)"
111635,"LINESTRING(356585.34495 6689135.75402,356575.00946 6689123.33131)"
111636,"LINESTRING(356378.51946 6688952.69809,356379.71615 6688956.10054,356382.41508 6688963.07698,356383.64827 6688965.66511,356386.50779 6688972.66568)"
111638,"LINESTRING(356364.22271 6688920.47675,356363.85279 6688910.76266,356363.81485 6688905.10163)"
111639,"LINESTRING(356363.81485 6688905.10163,356365.08505 6688889.50748,356366.66220 6688874.24056)"
